first_name,last_name,state,district,party,chamber
Tim,Scott,South Carolina,At-Large,Republican,Senate
Jeanne,Shaheen,New Hampshire,At-Large,Democratic,Senate
Eric,Schmitt,Missouri,At-Large,Republican,Senate
Mike,Rounds,South Dakota,At-Large,Republican,Senate
Brian,Schatz,Hawaii,At-Large,Democratic,Senate
Charles,Schumer,New York,At-Large,Democratic,Senate
Bernard,Sanders,Vermont,At-Large,Independent,Senate
Adam,Schiff,California,At-Large,Democratic,Senate
Pete,Ricketts,Nebraska,At-Large,Republican,Senate
Jacky,Rosen,Nevada,At-Large,Democratic,Senate
Rand,Paul,Kentucky,At-Large,Republican,Senate
Gary,Peters,Michigan,At-Large,Democratic,Senate
James,Risch,Idaho,At-Large,Republican,Senate
Jack,Reed,Rhode Island,At-Large,Democratic,Senate
Alex,Padilla,California,At-Large,Democratic,Senate
Jon,Ossoff,Georgia,At-Large,Democratic,Senate
Markwayne,Mullin,Oklahoma,At-Large,Republican,Senate
Christopher,Murphy,Connecticut,At-Large,Democratic,Senate
Patty,Murray,Washington,At-Large,Democratic,Senate
Lisa,Murkowski,Alaska,At-Large,Republican,Senate
David,McCormick,Pennsylvania,At-Large,Republican,Senate
Bernie,Moreno,Ohio,At-Large,Republican,Senate
Jeff,Merkley,Oregon,At-Large,Democratic,Senate
Jerry,Moran,Kansas,At-Large,Republican,Senate
Mitch,McConnell,Kentucky,At-Large,Republican,Senate
Roger,Marshall,Kansas,At-Large,Republican,Senate
Amy,Klobuchar,Minnesota,At-Large,Democratic,Senate
Mike,Lee,Utah,At-Large,Republican,Senate
James,Lankford,Oklahoma,At-Large,Republican,Senate
Cynthia,Lummis,Wyoming,At-Large,Republican,Senate
Ben,Luján,New Mexico,At-Large,Democratic,Senate
Edward,Markey,Massachusetts,At-Large,Democratic,Senate
Mark,Kelly,Arizona,At-Large,Democratic,Senate
Andy,Kim,New Jersey,At-Large,Democratic,Senate
John,Kennedy,Louisiana,At-Large,Republican,Senate
Angus,King,Maine,At-Large,Independent,Senate
Tim,Kaine,Virginia,At-Large,Democratic,Senate
Ron,Johnson,Wisconsin,At-Large,Republican,Senate
Jon,Husted,Ohio,At-Large,Republican,Senate
John,Hickenlooper,Colorado,At-Large,Democratic,Senate
Josh,Hawley,Missouri,At-Large,Republican,Senate
Cindy,Hyde-Smith,Mississippi,At-Large,Republican,Senate
John,Hoeven,North Dakota,At-Large,Republican,Senate
Mazie,Hirono,Hawaii,At-Large,Democratic,Senate
Martin,Heinrich,New Mexico,At-Large,Democratic,Senate
Bill,Hagerty,Tennessee,At-Large,Republican,Senate
Margaret,Hassan,New Hampshire,At-Large,Democratic,Senate
Ruben,Gallego,Arizona,At-Large,Democratic,Senate
Kirsten,Gillibrand,New York,At-Large,Democratic,Senate
Chuck,Grassley,Iowa,At-Large,Republican,Senate
Lindsey,Graham,South Carolina,At-Large,Republican,Senate
John,Fetterman,Pennsylvania,At-Large,Democratic,Senate
John,Curtis,Utah,At-Large,Republican,Senate
Joni,Ernst,Iowa,At-Large,Republican,Senate
Deb,Fischer,Nebraska,At-Large,Republican,Senate
Ted,Cruz,Texas,At-Large,Republican,Senate
Steve,Daines,Montana,At-Large,Republican,Senate
Tammy,Duckworth,Illinois,At-Large,Democratic,Senate
Richard,Durbin,Illinois,At-Large,Democratic,Senate
Catherine,Cortez Masto,Nevada,At-Large,Democratic,Senate
Kevin,Cramer,North Dakota,At-Large,Republican,Senate
Tom,Cotton,Arkansas,At-Large,Republican,Senate
Christopher,Coons,Delaware,At-Large,Democratic,Senate
Susan,Collins,Maine,At-Large,Republican,Senate
John,Cornyn,Texas,At-Large,Republican,Senate
Mike,Crapo,Idaho,At-Large,Republican,Senate
Katie,Britt,Alabama,At-Large,Republican,Senate
Ted,Budd,North Carolina,At-Large,Republican,Senate
Cory,Booker,New Jersey,At-Large,Democratic,Senate
Bill,Cassidy,Louisiana,At-Large,Republican,Senate
John,Boozman,Arkansas,At-Large,Republican,Senate
Shelley,Capito,West Virginia,At-Large,Republican,Senate
Maria,Cantwell,Washington,At-Large,Democratic,Senate
Jim,Banks,Indiana,At-Large,Republican,Senate
Lisa,Blunt Rochester,Delaware,At-Large,Democratic,Senate
Richard,Blumenthal,Connecticut,At-Large,Democratic,Senate
John,Barrasso,Wyoming,At-Large,Republican,Senate
Michael,Bennet,Colorado,At-Large,Democratic,Senate
Tammy,Baldwin,Wisconsin,At-Large,Democratic,Senate
Marsha,Blackburn,Tennessee,At-Large,Republican,Senate
Angela,Alsobrooks,Maryland,At-Large,Democratic,Senate
George,Whitesides,California,27,Democratic,House
Randy,Fine,Florida,6,Republican,House
Jimmy,Patronis,Florida,1,Republican,House
Eugene,Vindman,Virginia,7,Democratic,House
David,Taylor,Ohio,2,Republican,House
Suhas,Subramanyam,Virginia,10,Democratic,House
Jefferson,Shreve,Indiana,6,Republican,House
Derek,Schmidt,Kansas,2,Republican,House
Josh,Riley,New York,19,Democratic,House
Nellie,Pou,New Jersey,9,Democratic,House
Johnny,Olszewski,Maryland,2,Democratic,House
Addison,McDowell,North Carolina,6,Republican,House
John,McGuire,Virginia,5,Republican,House
Kristen,McDonald Rivet,Michigan,8,Democratic,House
Tim,Moore,North Carolina,14,Republican,House
Riley,Moore,West Virginia,2,Republican,House
Mark,Messmer,Indiana,8,Republican,House
April,McClain Delaney,Maryland,6,Democratic,House
John,Mannion,New York,22,Democratic,House
Ryan,Mackenzie,Pennsylvania,7,Republican,House
George,Latimer,New York,16,Democratic,House
Brad,Knott,North Carolina,13,Republican,House
Mike,Kennedy,Utah,3,Republican,House
Julie,Johnson,Texas,32,Democratic,House
Pablo,Hernández,Puerto Rico,,Democratic,House
Mark,Harris,North Carolina,8,Republican,House
Pat,Harrigan,North Carolina,10,Republican,House
Maggie,Goodlander,New Hampshire,2,Democratic,House
Brandon,Gill,Texas,26,Republican,House
Laura,Gillen,New York,4,Democratic,House
Craig,Goldman,Texas,12,Republican,House
Laura,Friedman,California,30,Democratic,House
Julie,Fedorchak,North Dakota,,Republican,House
Sarah,Elfreth,Maryland,3,Democratic,House
Maxine,Dexter,Oregon,3,Democratic,House
Troy,Downing,Montana,2,Republican,House
Herbert,Conaway,New Jersey,3,Democratic,House
Robert,Bresnahan,Pennsylvania,8,Republican,House
Janelle,Bynum,Oregon,5,Democratic,House
Sheri,Biggs,South Carolina,3,Republican,House
Michael,Baumgartner,Washington,5,Republican,House
Tom,Barrett,Michigan,7,Republican,House
Richard,McCormick,Georgia,7,Republican,House
Marlin,Stutzman,Indiana,3,Republican,House
Cleo,Fields,Louisiana,6,Democratic,House
Robert,Onder,Missouri,3,Republican,House
Sarah,McBride,Delaware,,Democratic,House
Kelly,Morrison,Minnesota,3,Democratic,House
Kimberlyn,King-Hinds,Northern Mariana Islands,,Republican,House
Brian,Jack,Georgia,3,Republican,House
Mike,Haridopolos,Florida,8,Republican,House
Shomari,Figures,Alabama,2,Democratic,House
Gabe,Evans,Colorado,8,Republican,House
Jeff,Crank,Colorado,5,Republican,House
Wesley,Bell,Missouri,1,Democratic,House
Tony,Wied,Wisconsin,8,Republican,House
LaMonica,McIver,New Jersey,10,Democratic,House
Vince,Fong,California,20,Republican,House
Timothy,Kennedy,New York,26,Democratic,House
Celeste,Maloy,Utah,2,Republican,House
Gabe,Amo,Rhode Island,1,Democratic,House
Jennifer,McClellan,Virginia,4,Democratic,House
Derrick,Van Orden,Wisconsin,3,Republican,House
Keith,Self,Texas,3,Republican,House
Marie,Perez,Washington,3,Democratic,House
Andrew,Ogles,Tennessee,5,Republican,House
Nathaniel,Moran,Texas,1,Republican,House
Seth,Magaziner,Rhode Island,2,Democratic,House
Morgan,Luttrell,Texas,8,Republican,House
Summer,Lee,Pennsylvania,12,Democratic,House
Jennifer,Kiggans,Virginia,2,Republican,House
Wesley,Hunt,Texas,38,Republican,House
Harriet,Hageman,Wyoming,,Republican,House
Russell,Fry,South Carolina,7,Republican,House
Christopher,Deluzio,Pennsylvania,17,Democratic,House
Monica,De La Cruz,Texas,15,Republican,House
Jasmine,Crockett,Texas,30,Democratic,House
Greg,Casar,Texas,35,Democratic,House
Becca,Balint,Vermont,,Democratic,House
Barry,Moore,Alabama,1,Republican,House
Scott,Franklin,Florida,18,Republican,House
Lauren,Boebert,Colorado,4,Republican,House
Carol,Miller,West Virginia,1,Republican,House
Lucy,McBath,Georgia,6,Democratic,House
Gilbert,Cisneros,California,31,Democratic,House
Mary,Scanlon,Pennsylvania,5,Democratic,House
Vicente,Gonzalez,Texas,34,Democratic,House
Thomas,Suozzi,New York,3,Democratic,House
Al,Green,Texas,9,Democratic,House
Lloyd,Doggett,Texas,37,Democratic,House
Gabe,Vasquez,New Mexico,2,Democratic,House
Jill,Tokuda,Hawaii,2,Democratic,House
Shri,Thanedar,Michigan,13,Democratic,House
Emilia,Sykes,Ohio,13,Democratic,House
Eric,Sorensen,Illinois,17,Democratic,House
Hillary,Scholten,Michigan,3,Democratic,House
Andrea,Salinas,Oregon,6,Democratic,House
Delia,Ramirez,Illinois,3,Democratic,House
Zachary,Nunn,Iowa,3,Republican,House
James,Moylan,Guam,,Republican,House
Jared,Moskowitz,Florida,23,Democratic,House
Cory,Mills,Florida,7,Republican,House
Max,Miller,Ohio,7,Republican,House
Robert,Menendez,New Jersey,8,Democratic,House
Morgan,McGarvey,Kentucky,3,Democratic,House
